2026-01-02 09:55:18 WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=10h33m28s67ms293µs800ns).
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9 START TIME        =02-Jan-2026 09:55:38
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9         requestURI=/oauth2/authorize
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9           authType=null
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9  characterEncoding=UTF-8
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9      contentLength=-1
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9        contentType=null
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9        contextPath=
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             cookie=XSRF-TOKEN=46fac45a-09ae-4afb-a482-8f3c766f7112
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             cookie=JSESSIONID=5dc59fd6-200e-42ef-ae83-c79ef5f63d9f
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=host=127.0.0.1:9000
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=connection=keep-alive
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=sec-ch-ua="Google Chrome";v="143", "Chromium";v="143", "Not A(Brand";v="24"
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=sec-ch-ua-mobile=?0
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=sec-ch-ua-platform="Windows"
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=upgrade-insecure-requests=1
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=accept=text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=sec-fetch-site=same-site
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=sec-fetch-mode=navigate
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=sec-fetch-dest=document
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=referer=http://127.0.0.1:3000/
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=accept-encoding=gzip, deflate, br, zstd
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=accept-language=en-US,en;q=0.9,ru;q=0.8
